Date,CO1 COMB Comdty_PX_LAST
04-01-05,41.04
05-01-05,40.51
06-01-05,42.85
07-01-05,43.18
10-01-05,42.92
11-01-05,43.12
12-01-05,43.68
13-01-05,45.21
14-01-05,45.15
17-01-05,45.03
18-01-05,45.39
19-01-05,44.71
20-01-05,44.32
21-01-05,45.73
24-01-05,46.01
25-01-05,46.96
26-01-05,46.51
27-01-05,46.44
28-01-05,44.95
31-01-05,45.92
01-02-05,44.82
02-02-05,44.01
03-02-05,43.85
04-02-05,43.89
07-02-05,43.04
08-02-05,43.07
09-02-05,43.13
10-02-05,44.48
11-02-05,44.8
14-02-05,45.53
15-02-05,45.39
16-02-05,46.15
17-02-05,45.82
18-02-05,46.34
21-02-05,46.73
22-02-05,48.62
23-02-05,48.51
24-02-05,49.44
25-02-05,49.61
28-02-05,50.06
01-03-05,50.11
02-03-05,51.22
03-03-05,51.95
04-03-05,51.8
07-03-05,52.09
08-03-05,52.84
09-03-05,53.38
10-03-05,52.66
11-03-05,53.1
14-03-05,53.66
15-03-05,53.85
16-03-05,54.8
17-03-05,55.06
18-03-05,55.59
21-03-05,55.65
22-03-05,54.59
23-03-05,53.04
24-03-05,53.93
29-03-05,53.03
30-03-05,52.09
31-03-05,54.29
01-04-05,56.51
04-04-05,56.23
05-04-05,55.44
06-04-05,55.27
07-04-05,54.04
08-04-05,52.89
11-04-05,53.21
12-04-05,51.98
13-04-05,50.48
14-04-05,50.91
15-04-05,51.61
18-04-05,50.78
19-04-05,52.94
20-04-05,53.78
21-04-05,54.01
22-04-05,54.97
25-04-05,54.4
26-04-05,54.14
27-04-05,52.29
28-04-05,52.48
29-04-05,51.09
03-05-05,50.52
04-05-05,50.97
05-05-05,51.13
06-05-05,50.77
09-05-05,51.29
10-05-05,51.43
11-05-05,50.07
12-05-05,48.34
13-05-05,48.66
16-05-05,48.05
17-05-05,49.34
18-05-05,48.15
19-05-05,47.88
20-05-05,48.03
23-05-05,48.37
24-05-05,48.82
25-05-05,50.07
26-05-05,50.16
27-05-05,50.7
31-05-05,50.73
01-06-05,53.27
02-06-05,52.4
03-06-05,54.17
06-06-05,53.67
07-06-05,53.13
08-06-05,52.11
09-06-05,53.82
10-06-05,52.67
13-06-05,54.78
14-06-05,53.73
15-06-05,54.5
16-06-05,56.22
17-06-05,57.76
20-06-05,58.32
21-06-05,57.5
22-06-05,56.58
23-06-05,57.96
24-06-05,58.36
27-06-05,59.3
28-06-05,57.18
29-06-05,56.15
30-06-05,55.58
01-07-05,57.54
04-07-05,57.94
05-07-05,58.29
06-07-05,59.85
07-07-05,59.28
08-07-05,58.2
11-07-05,57.44
12-07-05,58.82
13-07-05,58.27
14-07-05,57.31
15-07-05,57.61
18-07-05,56.99
19-07-05,57.36
20-07-05,56.65
21-07-05,55.72
22-07-05,57.58
25-07-05,57.86
26-07-05,58.03
27-07-05,58.01
28-07-05,58.76
29-07-05,59.37
01-08-05,60.44
02-08-05,60.62
03-08-05,59.65
04-08-05,60.12
05-08-05,61.07
08-08-05,62.7
09-08-05,61.98
10-08-05,63.99
11-08-05,65.38
12-08-05,66.45
15-08-05,65.58
16-08-05,65.41
17-08-05,62.56
18-08-05,62.4
19-08-05,64.36
22-08-05,64.5
23-08-05,64.65
24-08-05,66.01
25-08-05,66.27
26-08-05,64.87
30-08-05,67.57
31-08-05,67.02
01-09-05,67.72
02-09-05,66.06
05-09-05,64.85
06-09-05,64.67
07-09-05,62.89
08-09-05,63.08
09-09-05,62.84
12-09-05,61.8
13-09-05,61.61
14-09-05,63.37
15-09-05,63.16
16-09-05,61.81
19-09-05,65.61
20-09-05,64.2
21-09-05,64.73
22-09-05,64.6
23-09-05,62.44
26-09-05,63.93
27-09-05,62.97
28-09-05,63.93
29-09-05,63.84
30-09-05,63.48
03-10-05,62.8
04-10-05,61.22
05-10-05,60.12
06-10-05,58.37
07-10-05,59.21
10-10-05,58.78
11-10-05,60.08
12-10-05,60.57
13-10-05,60.14
14-10-05,59.35
17-10-05,60.57
18-10-05,59.28
19-10-05,58.6
20-10-05,57.91
21-10-05,58.48
24-10-05,58.24
25-10-05,60.24
26-10-05,58.87
27-10-05,59.14
28-10-05,59.42
31-10-05,58.1
01-11-05,58.37
02-11-05,58.38
03-11-05,60.52
04-11-05,59.25
07-11-05,58.04
08-11-05,57.81
09-11-05,56.88
10-11-05,55.68
11-11-05,54.99
14-11-05,54.73
15-11-05,54.05
16-11-05,56.0
17-11-05,54.85
18-11-05,54.88
21-11-05,55.34
22-11-05,56.41
23-11-05,56.21
24-11-05,55.3
25-11-05,55.01
28-11-05,54.88
29-11-05,54.32
30-11-05,55.05
01-12-05,56.15
02-12-05,57.05
05-12-05,57.73
06-12-05,57.61
07-12-05,56.98
08-12-05,58.67
09-12-05,57.31
12-12-05,59.44
13-12-05,59.52
14-12-05,59.6
15-12-05,59.85
16-12-05,57.13
19-12-05,56.11
20-12-05,56.17
21-12-05,56.72
22-12-05,56.55
23-12-05,56.69
27-12-05,56.29
28-12-05,57.64
29-12-05,58.07
30-12-05,58.98
03-01-06,61.35
04-01-06,61.68
05-01-06,61.13
06-01-06,62.72
09-01-06,62.01
10-01-06,61.92
11-01-06,62.17
12-01-06,62.62
13-01-06,62.26
16-01-06,62.93
17-01-06,64.9
18-01-06,64.19
19-01-06,65.23
20-01-06,66.43
23-01-06,66.16
24-01-06,65.34
25-01-06,64.23
26-01-06,64.92
27-01-06,66.24
30-01-06,66.59
31-01-06,65.99
01-02-06,65.03
02-02-06,62.88
03-02-06,63.39
06-02-06,63.33
07-02-06,61.56
08-02-06,61.06
09-02-06,60.75
10-02-06,59.64
13-02-06,59.38
14-02-06,59.52
15-02-06,58.15
16-02-06,58.79
17-02-06,59.89
20-02-06,61.54
21-02-06,61.6
22-02-06,60.44
23-02-06,60.54
24-02-06,62.6
27-02-06,60.99
28-02-06,61.76
01-03-06,62.45
02-03-06,64.07
03-03-06,64.18
06-03-06,62.34
07-03-06,61.17
08-03-06,60.03
09-03-06,61.06
10-03-06,60.83
13-03-06,62.2
14-03-06,63.97
15-03-06,62.94
16-03-06,62.91
17-03-06,63.26
20-03-06,61.34
21-03-06,62.13
22-03-06,61.5
23-03-06,63.27
24-03-06,63.51
27-03-06,63.61
28-03-06,64.97
29-03-06,65.55
30-03-06,66.46
31-03-06,65.91
03-04-06,66.84
04-04-06,66.39
05-04-06,67.1
06-04-06,67.84
07-04-06,67.29
10-04-06,68.75
11-04-06,69.37
12-04-06,69.42
13-04-06,70.14
17-04-06,71.3
18-04-06,71.85
19-04-06,72.95
20-04-06,72.87
21-04-06,74.17
24-04-06,73.86
25-04-06,72.46
26-04-06,72.44
27-04-06,71.02
28-04-06,72.5
01-05-06,73.4
02-05-06,74.87
03-05-06,73.32
04-05-06,70.39
05-05-06,70.88
08-05-06,69.33
09-05-06,71.22
10-05-06,70.82
11-05-06,72.51
12-05-06,72.18
15-05-06,70.21
16-05-06,70.24
17-05-06,69.04
18-05-06,69.67
19-05-06,68.68
22-05-06,69.35
23-05-06,71.0
24-05-06,69.22
25-05-06,70.71
26-05-06,70.59
30-05-06,71.05
31-05-06,70.41
01-06-06,69.39
02-06-06,71.03
05-06-06,71.37
06-06-06,70.81
07-06-06,69.19
08-06-06,69.05
09-06-06,70.48
12-06-06,68.93
13-06-06,66.92
14-06-06,66.98
15-06-06,67.43
16-06-06,68.8
19-06-06,68.11
20-06-06,68.08
21-06-06,69.17
22-06-06,69.95
23-06-06,69.93
26-06-06,70.73
27-06-06,70.98
28-06-06,71.41
29-06-06,72.88
30-06-06,73.51
03-07-06,73.39
04-07-06,72.51
05-07-06,73.98
06-07-06,74.08
07-07-06,73.51
10-07-06,72.89
11-07-06,73.67
12-07-06,74.39
13-07-06,76.69
14-07-06,77.27
17-07-06,75.92
18-07-06,74.36
19-07-06,73.9
20-07-06,73.72
21-07-06,73.75
24-07-06,74.61
25-07-06,73.28
26-07-06,74.0
27-07-06,75.01
28-07-06,73.39
31-07-06,75.15
01-08-06,75.89
02-08-06,76.89
