Date,FBMKLCI Index_PX_LAST
03-01-05,903.8
04-01-05,902.5
05-01-05,908.0
06-01-05,910.4
07-01-05,916.3
10-01-05,919.0
11-01-05,930.6
12-01-05,933.3
13-01-05,934.1
14-01-05,929.7
17-01-05,932.3
18-01-05,937.6
19-01-05,935.5
20-01-05,929.7
24-01-05,923.3
25-01-05,919.8
26-01-05,923.4
27-01-05,920.0
28-01-05,917.2
31-01-05,916.3
02-02-05,918.5
03-02-05,917.9
04-02-05,907.5
07-02-05,912.6
08-02-05,914.9
14-02-05,920.3
15-02-05,921.7
16-02-05,919.4
17-02-05,912.6
18-02-05,907.8
21-02-05,904.7
22-02-05,904.8
23-02-05,899.7
24-02-05,903.6
25-02-05,903.5
28-02-05,907.4
01-03-05,898.5
02-03-05,891.9
03-03-05,889.4
04-03-05,885.3
07-03-05,891.2
08-03-05,897.5
09-03-05,903.6
10-03-05,899.3
11-03-05,901.5
14-03-05,901.6
15-03-05,898.2
16-03-05,897.5
17-03-05,899.3
18-03-05,894.0
21-03-05,885.6
22-03-05,878.6
23-03-05,881.3
24-03-05,882.4
25-03-05,883.4
28-03-05,885.4
29-03-05,881.9
30-03-05,877.8
31-03-05,871.4
01-04-05,875.9
04-04-05,867.2
05-04-05,869.8
06-04-05,861.8
07-04-05,861.5
08-04-05,864.0
11-04-05,869.9
12-04-05,866.2
13-04-05,874.2
14-04-05,877.2
15-04-05,874.3
18-04-05,866.7
19-04-05,867.8
20-04-05,871.9
22-04-05,877.8
25-04-05,872.0
26-04-05,872.4
27-04-05,872.5
28-04-05,873.9
29-04-05,879.0
03-05-05,892.0
04-05-05,903.1
05-05-05,904.1
06-05-05,901.2
09-05-05,901.3
10-05-05,902.8
11-05-05,898.7
12-05-05,893.4
13-05-05,891.4
16-05-05,889.3
17-05-05,891.4
18-05-05,886.4
19-05-05,887.5
20-05-05,883.2
24-05-05,884.3
25-05-05,870.1
26-05-05,867.1
27-05-05,869.1
30-05-05,870.0
31-05-05,860.7
01-06-05,862.0
02-06-05,862.4
03-06-05,865.9
06-06-05,872.0
07-06-05,876.9
08-06-05,879.4
09-06-05,879.4
10-06-05,890.0
13-06-05,894.7
14-06-05,892.6
15-06-05,900.3
16-06-05,898.0
17-06-05,897.1
20-06-05,896.8
21-06-05,896.3
22-06-05,903.3
23-06-05,902.3
24-06-05,898.1
27-06-05,891.2
28-06-05,894.7
29-06-05,890.0
30-06-05,888.3
01-07-05,894.0
