Date,KLPLN Index_PX_LAST
03-01-05,2419.3
04-01-05,2415.1
05-01-05,2400.5
06-01-05,2402.3
07-01-05,2416.9
10-01-05,2420.1
11-01-05,2427.0
12-01-05,2418.9
13-01-05,2424.2
14-01-05,2414.1
17-01-05,2420.9
18-01-05,2407.2
19-01-05,2404.0
20-01-05,2400.3
24-01-05,2410.2
25-01-05,2406.1
26-01-05,2397.1
27-01-05,2393.8
28-01-05,2389.1
31-01-05,2386.3
02-02-05,2380.1
03-02-05,2375.0
04-02-05,2369.2
07-02-05,2363.7
08-02-05,2370.8
14-02-05,2361.4
15-02-05,2340.5
16-02-05,2338.1
17-02-05,2317.8
18-02-05,2305.2
21-02-05,2289.8
22-02-05,2287.7
23-02-05,2294.7
24-02-05,2317.0
25-02-05,2314.3
28-02-05,2324.6
01-03-05,2311.3
02-03-05,2311.0
03-03-05,2303.4
04-03-05,2323.0
07-03-05,2325.1
08-03-05,2343.4
09-03-05,2371.7
10-03-05,2355.0
11-03-05,2344.6
14-03-05,2352.7
15-03-05,2347.4
16-03-05,2346.2
17-03-05,2353.1
18-03-05,2345.8
21-03-05,2327.3
22-03-05,2323.3
23-03-05,2322.3
24-03-05,2334.4
25-03-05,2336.9
28-03-05,2328.6
29-03-05,2325.5
30-03-05,2323.9
31-03-05,2322.3
01-04-05,2316.2
04-04-05,2304.9
05-04-05,2309.3
06-04-05,2300.3
07-04-05,2303.0
08-04-05,2309.0
11-04-05,2323.9
12-04-05,2329.0
13-04-05,2322.7
14-04-05,2334.5
15-04-05,2326.7
18-04-05,2344.2
19-04-05,2356.1
20-04-05,2363.2
22-04-05,2341.1
25-04-05,2332.5
26-04-05,2325.5
27-04-05,2325.5
28-04-05,2329.5
29-04-05,2339.7
03-05-05,2351.2
04-05-05,2370.9
05-05-05,2367.7
06-05-05,2367.9
09-05-05,2368.6
10-05-05,2371.1
11-05-05,2372.5
12-05-05,2359.4
13-05-05,2347.3
16-05-05,2326.4
17-05-05,2312.6
18-05-05,2310.3
19-05-05,2314.4
20-05-05,2311.0
24-05-05,2316.4
25-05-05,2296.3
26-05-05,2294.4
27-05-05,2297.7
30-05-05,2309.4
31-05-05,2306.5
01-06-05,2292.1
02-06-05,2300.9
03-06-05,2307.4
06-06-05,2306.5
07-06-05,2310.8
08-06-05,2334.4
09-06-05,2334.3
10-06-05,2354.4
13-06-05,2366.8
14-06-05,2348.8
15-06-05,2351.4
16-06-05,2351.1
17-06-05,2350.9
20-06-05,2353.5
21-06-05,2387.3
22-06-05,2437.2
23-06-05,2433.0
24-06-05,2429.8
27-06-05,2427.4
28-06-05,2441.3
29-06-05,2430.1
30-06-05,2440.2
01-07-05,2423.5
04-07-05,2424.8
05-07-05,2434.5
06-07-05,2472.1
07-07-05,2475.3
08-07-05,2479.9
11-07-05,2503.7
12-07-05,2515.5
13-07-05,2506.1
14-07-05,2543.6
15-07-05,2551.1
18-07-05,2552.3
19-07-05,2568.2
20-07-05,2602.1
21-07-05,2578.9
22-07-05,2553.6
25-07-05,2538.3
26-07-05,2526.6
27-07-05,2507.4
28-07-05,2524.4
29-07-05,2554.2
01-08-05,2572.0
02-08-05,2577.3
03-08-05,2590.6
04-08-05,2575.8
05-08-05,2581.5
08-08-05,2592.9
09-08-05,2580.1
10-08-05,2585.5
11-08-05,2590.6
12-08-05,2580.6
15-08-05,2561.9
16-08-05,2602.8
17-08-05,2573.5
18-08-05,2564.3
19-08-05,2569.4
22-08-05,2554.3
23-08-05,2562.4
24-08-05,2564.7
25-08-05,2572.4
26-08-05,2582.6
29-08-05,2579.2
30-08-05,2571.2
01-09-05,2568.8
02-09-05,2575.9
05-09-05,2573.4
06-09-05,2590.1
07-09-05,2626.7
08-09-05,2629.1
09-09-05,2635.3
12-09-05,2650.7
13-09-05,2628.0
14-09-05,2631.2
15-09-05,2635.6
16-09-05,2639.8
19-09-05,2640.5
20-09-05,2636.4
21-09-05,2664.1
22-09-05,2653.0
23-09-05,2658.6
26-09-05,2709.2
27-09-05,2729.8
28-09-05,2718.9
29-09-05,2748.8
30-09-05,2759.1
03-10-05,2763.9
04-10-05,2753.4
05-10-05,2845.7
06-10-05,2868.0
07-10-05,2871.8
10-10-05,2912.6
11-10-05,2880.1
12-10-05,2868.4
13-10-05,2860.5
14-10-05,2848.9
17-10-05,2841.1
18-10-05,2852.6
19-10-05,2820.2
20-10-05,2809.7
21-10-05,2805.7
24-10-05,2814.1
25-10-05,2810.4
26-10-05,2823.3
27-10-05,2838.9
28-10-05,2835.4
31-10-05,2858.4
02-11-05,2909.1
07-11-05,2934.4
08-11-05,2911.8
09-11-05,2917.6
10-11-05,2884.0
11-11-05,2847.1
14-11-05,2809.5
15-11-05,2794.0
16-11-05,2803.0
17-11-05,2771.0
18-11-05,2815.0
21-11-05,2827.0
22-11-05,2770.1
23-11-05,2777.5
24-11-05,2773.6
25-11-05,2781.1
28-11-05,2778.9
29-11-05,2770.1
30-11-05,2781.4
01-12-05,2768.7
02-12-05,2751.4
