Date,PAL2MALY Index_PX_LAST
03-01-05,1389.0
04-01-05,1368.0
05-01-05,1364.0
06-01-05,1368.0
07-01-05,1367.0
10-01-05,1340.0
11-01-05,1331.0
12-01-05,1317.0
13-01-05,1323.0
14-01-05,1337.0
17-01-05,1323.0
18-01-05,1326.0
19-01-05,1316.0
20-01-05,1311.0
24-01-05,1321.0
25-01-05,1325.0
26-01-05,1309.0
27-01-05,1300.0
28-01-05,1296.0
01-02-05,1286.0
02-02-05,1273.0
03-02-05,1274.0
04-02-05,1273.0
07-02-05,1286.0
08-02-05,1291.0
14-02-05,1327.0
15-02-05,1324.0
16-02-05,1304.0
17-02-05,1321.0
18-02-05,1335.0
21-02-05,1332.0
22-02-05,1337.0
23-02-05,1362.0
24-02-05,1366.0
25-02-05,1375.0
01-03-05,1396.0
02-03-05,1401.0
03-03-05,1399.0
04-03-05,1396.0
07-03-05,1414.0
08-03-05,1424.0
09-03-05,1434.0
10-03-05,1435.0
11-03-05,1436.0
14-03-05,1434.0
15-03-05,1452.0
16-03-05,1491.0
17-03-05,1460.0
18-03-05,1452.0
21-03-05,1433.0
22-03-05,1410.0
23-03-05,1403.0
24-03-05,1409.0
25-03-05,1434.0
28-03-05,1429.0
29-03-05,1437.0
30-03-05,1447.0
01-04-05,1436.0
04-04-05,1432.0
05-04-05,1436.0
06-04-05,1431.0
07-04-05,1440.0
08-04-05,1431.0
11-04-05,1417.0
12-04-05,1428.0
13-04-05,1419.0
14-04-05,1419.0
15-04-05,1426.0
18-04-05,1430.0
19-04-05,1429.0
20-04-05,1446.0
22-04-05,1444.0
25-04-05,1452.0
26-04-05,1448.0
27-04-05,1447.0
28-04-05,1440.0
29-04-05,1429.0
03-05-05,1437.0
04-05-05,1431.0
05-05-05,1417.0
06-05-05,1421.0
09-05-05,1426.0
10-05-05,1433.0
11-05-05,1422.0
12-05-05,1412.0
13-05-05,1417.0
16-05-05,1407.0
17-05-05,1407.0
18-05-05,1399.0
19-05-05,1405.0
20-05-05,1395.0
24-05-05,1399.0
25-05-05,1399.0
26-05-05,1406.0
27-05-05,1419.0
30-05-05,1417.0
01-06-05,1405.0
02-06-05,1398.0
03-06-05,1396.0
06-06-05,1407.0
07-06-05,1397.0
08-06-05,1395.0
09-06-05,1380.0
10-06-05,1383.0
13-06-05,1382.0
14-06-05,1386.0
15-06-05,1386.0
16-06-05,1399.0
17-06-05,1401.0
20-06-05,1439.0
21-06-05,1426.0
22-06-05,1435.0
23-06-05,1421.0
24-06-05,1435.0
27-06-05,1431.0
28-06-05,1413.0
29-06-05,1417.0
01-07-05,1415.0
04-07-05,1419.0
05-07-05,1428.0
06-07-05,1438.0
07-07-05,1425.0
08-07-05,1421.0
11-07-05,1416.0
12-07-05,1424.0
13-07-05,1418.0
14-07-05,1420.0
15-07-05,1416.0
18-07-05,1412.0
19-07-05,1409.0
20-07-05,1401.0
21-07-05,1403.0
22-07-05,1383.0
25-07-05,1359.0
26-07-05,1361.0
27-07-05,1362.0
28-07-05,1367.0
29-07-05,1370.0
01-08-05,1362.0
02-08-05,1359.0
03-08-05,1351.0
04-08-05,1342.0
05-08-05,1342.0
08-08-05,1329.0
09-08-05,1329.0
10-08-05,1339.0
11-08-05,1348.0
12-08-05,1354.0
15-08-05,1365.0
16-08-05,1367.0
17-08-05,1364.0
18-08-05,1370.0
19-08-05,1378.0
22-08-05,1377.0
23-08-05,1380.0
24-08-05,1372.0
25-08-05,1363.0
26-08-05,1366.0
29-08-05,1356.0
30-08-05,1340.0
01-09-05,1364.0
02-09-05,1368.0
05-09-05,1371.0
06-09-05,1372.0
07-09-05,1377.0
08-09-05,1373.0
09-09-05,1375.0
12-09-05,1369.0
13-09-05,1374.0
14-09-05,1381.0
15-09-05,1387.0
16-09-05,1388.0
19-09-05,1397.0
20-09-05,1407.0
21-09-05,1416.0
22-09-05,1429.0
23-09-05,1430.0
26-09-05,1437.0
27-09-05,1445.0
28-09-05,1456.0
29-09-05,1449.0
03-10-05,1480.0
04-10-05,1476.0
05-10-05,1470.0
06-10-05,1477.0
07-10-05,1480.0
10-10-05,1467.0
11-10-05,1464.0
12-10-05,1459.0
13-10-05,1460.0
14-10-05,1458.0
17-10-05,1452.0
18-10-05,1459.0
19-10-05,1448.0
20-10-05,1445.0
21-10-05,1431.0
24-10-05,1417.0
25-10-05,1423.0
26-10-05,1425.0
27-10-05,1434.0
28-10-05,1436.0
02-11-05,1449.0
07-11-05,1444.0
08-11-05,1438.0
09-11-05,1442.0
10-11-05,1438.0
11-11-05,1439.0
14-11-05,1438.0
15-11-05,1428.0
16-11-05,1419.0
17-11-05,1411.0
18-11-05,1415.0
21-11-05,1416.0
22-11-05,1410.0
23-11-05,1408.0
24-11-05,1410.0
25-11-05,1416.0
28-11-05,1410.0
29-11-05,1399.0
01-12-05,1385.0
02-12-05,1385.0
05-12-05,1391.0
06-12-05,1397.0
07-12-05,1398.0
08-12-05,1389.0
09-12-05,1394.0
12-12-05,1391.0
13-12-05,1391.0
14-12-05,1382.0
15-12-05,1383.0
16-12-05,1386.0
19-12-05,1390.0
20-12-05,1390.0
21-12-05,1394.0
22-12-05,1398.0
23-12-05,1406.0
27-12-05,1407.0
28-12-05,1401.0
29-12-05,1405.0
03-01-06,1411.0
04-01-06,1419.0
05-01-06,1417.0
06-01-06,1418.0
09-01-06,1412.0
11-01-06,1409.0
12-01-06,1406.0
13-01-06,1408.0
16-01-06,1413.0
17-01-06,1414.0
18-01-06,1411.0
19-01-06,1408.0
20-01-06,1411.0
23-01-06,1410.0
24-01-06,1406.0
25-01-06,1412.0
26-01-06,1409.0
27-01-06,1425.0
03-02-06,1426.0
06-02-06,1427.0
07-02-06,1431.0
08-02-06,1428.0
09-02-06,1433.0
10-02-06,1445.0
13-02-06,1448.0
14-02-06,1451.0
15-02-06,1452.0
16-02-06,1455.0
17-02-06,1463.0
20-02-06,1461.0
21-02-06,1450.0
22-02-06,1449.0
23-02-06,1448.0
24-02-06,1451.0
27-02-06,1445.0
01-03-06,1468.0
02-03-06,1461.0
03-03-06,1458.0
06-03-06,1444.0
07-03-06,1444.0
08-03-06,1442.0
09-03-06,1444.0
10-03-06,1441.0
13-03-06,1426.0
14-03-06,1419.0
15-03-06,1414.0
16-03-06,1415.0
17-03-06,1419.0
20-03-06,1410.0
21-03-06,1407.0
22-03-06,1406.0
23-03-06,1397.0
24-03-06,1410.0
27-03-06,1406.0
28-03-06,1411.0
29-03-06,1412.0
30-03-06,1394.0
03-04-06,1400.0
04-04-06,1396.0
05-04-06,1390.0
06-04-06,1389.0
07-04-06,1397.0
10-04-06,1405.0
12-04-06,1415.0
13-04-06,1415.0
14-04-06,1414.0
17-04-06,1418.0
18-04-06,1424.0
19-04-06,1428.0
20-04-06,1431.0
21-04-06,1421.0
24-04-06,1436.0
25-04-06,1436.0
26-04-06,1429.0
27-04-06,1425.0
28-04-06,1434.0
02-05-06,1438.0
03-05-06,1428.0
04-05-06,1427.0
05-05-06,1428.0
08-05-06,1423.0
09-05-06,1423.0
10-05-06,1418.0
11-05-06,1420.0
12-05-06,1419.0
15-05-06,1437.0
16-05-06,1427.0
17-05-06,1427.0
18-05-06,1424.0
19-05-06,1421.0
22-05-06,1414.0
23-05-06,1407.0
24-05-06,1408.0
25-05-06,1400.0
26-05-06,1404.0
29-05-06,1403.0
30-05-06,1399.0
01-06-06,1398.0
02-06-06,1389.0
05-06-06,1397.0
06-06-06,1397.0
07-06-06,1395.0
08-06-06,1403.0
09-06-06,1403.0
12-06-06,1406.0
13-06-06,1405.0
14-06-06,1400.0
15-06-06,1395.0
16-06-06,1397.0
19-06-06,1393.0
20-06-06,1388.0
21-06-06,1385.0
22-06-06,1395.0
23-06-06,1392.0
26-06-06,1400.0
27-06-06,1399.0
28-06-06,1399.0
29-06-06,1400.0
03-07-06,1428.0
04-07-06,1422.0
05-07-06,1421.0
06-07-06,1431.0
07-07-06,1442.0
10-07-06,1442.0
11-07-06,1444.0
12-07-06,1441.0
13-07-06,1440.0
14-07-06,1440.0
17-07-06,1448.0
18-07-06,1458.0
19-07-06,1456.0
20-07-06,1479.0
21-07-06,1495.0
24-07-06,1492.0
25-07-06,1508.0
26-07-06,1502.0
27-07-06,1506.0
28-07-06,1541.0
01-08-06,1601.0
02-08-06,1616.0
03-08-06,1619.0
04-08-06,1607.0
07-08-06,1599.0
08-08-06,1610.0
09-08-06,1636.0
10-08-06,1636.0
11-08-06,1633.0
14-08-06,1624.0
15-08-06,1626.0
16-08-06,1617.0
17-08-06,1584.0
18-08-06,1571.0
21-08-06,1584.0
22-08-06,1574.0
23-08-06,1578.0
24-08-06,1580.0
25-08-06,1573.0
28-08-06,1567.0
29-08-06,1546.0
30-08-06,1542.0
01-09-06,1571.0
04-09-06,1563.0
05-09-06,1551.0
06-09-06,1549.0
07-09-06,1549.0
08-09-06,1547.0
11-09-06,1520.0
12-09-06,1520.0
13-09-06,1511.0
14-09-06,1522.0
15-09-06,1516.0
18-09-06,1524.0
19-09-06,1515.0
20-09-06,1507.0
21-09-06,1500.0
22-09-06,1511.0
25-09-06,1498.0
26-09-06,1502.0
27-09-06,1505.0
28-09-06,1517.0
29-09-06,1512.0
02-10-06,1535.0
03-10-06,1518.0
04-10-06,1494.0
05-10-06,1506.0
06-10-06,1508.0
09-10-06,1506.0
10-10-06,1517.0
11-10-06,1508.0
12-10-06,1507.0
13-10-06,1516.0
16-10-06,1521.0
17-10-06,1523.0
18-10-06,1534.0
19-10-06,1535.0
20-10-06,1547.0
26-10-06,1543.0
27-10-06,1583.0
01-11-06,1624.0
02-11-06,1668.0
03-11-06,1651.0
06-11-06,1663.0
07-11-06,1664.0
08-11-06,1642.0
09-11-06,1650.0
10-11-06,1655.0
13-11-06,1655.0
14-11-06,1661.0
15-11-06,1678.0
16-11-06,1695.0
17-11-06,1698.0
20-11-06,1779.0
21-11-06,1828.0
22-11-06,1799.0
23-11-06,1783.0
24-11-06,1800.0
27-11-06,1891.0
28-11-06,1883.0
29-11-06,1848.0
30-11-06,1874.0
01-12-06,1871.0
04-12-06,1844.0
05-12-06,1828.0
06-12-06,1838.0
07-12-06,1831.0
08-12-06,1853.0
11-12-06,1859.0
12-12-06,1893.0
13-12-06,1894.0
14-12-06,1876.0
15-12-06,1868.0
18-12-06,1850.0
19-12-06,1853.0
20-12-06,1849.0
21-12-06,1867.0
22-12-06,1886.0
26-12-06,1936.0
27-12-06,1954.0
28-12-06,1986.0
29-12-06,2000.0
03-01-07,1978.0
04-01-07,1932.0
05-01-07,1955.0
08-01-07,1932.0
09-01-07,1939.0
10-01-07,1923.0
11-01-07,1935.0
12-01-07,1932.0
15-01-07,1951.0
16-01-07,1937.0
17-01-07,1938.0
18-01-07,1928.0
19-01-07,1909.0
22-01-07,1927.0
23-01-07,1919.0
24-01-07,1910.0
25-01-07,1909.0
26-01-07,1913.0
29-01-07,1900.0
30-01-07,1893.0
31-01-07,1900.0
01-02-07,1953.0
02-02-07,1917.0
05-02-07,1946.0
06-02-07,1928.0
07-02-07,1919.0
08-02-07,1912.0
09-02-07,1920.0
12-02-07,1909.0
13-02-07,1910.0
14-02-07,1921.0
15-02-07,1929.0
16-02-07,1934.0
21-02-07,1923.0
22-02-07,1928.0
23-02-07,1940.0
26-02-07,1953.0
27-02-07,1959.0
01-03-07,1953.0
02-03-07,2057.0
05-03-07,1928.0
06-03-07,1941.0
07-03-07,1941.0
08-03-07,1952.0
09-03-07,1966.0
