Date,QS1 Comdty_PX_LAST
04-01-05,364.25
05-01-05,358.25
06-01-05,377.0
07-01-05,376.25
10-01-05,394.75
11-01-05,380.5
12-01-05,374.75
13-01-05,395.75
14-01-05,396.25
17-01-05,398.5
18-01-05,393.0
19-01-05,393.0
20-01-05,388.5
21-01-05,404.0
24-01-05,407.25
25-01-05,415.0
26-01-05,418.25
27-01-05,421.0
28-01-05,398.75
31-01-05,397.25
01-02-05,398.5
02-02-05,393.5
03-02-05,388.0
04-02-05,388.25
07-02-05,380.0
08-02-05,376.75
09-02-05,385.75
10-02-05,395.25
11-02-05,392.5
14-02-05,388.5
15-02-05,397.75
16-02-05,397.25
17-02-05,407.75
18-02-05,409.25
21-02-05,424.25
22-02-05,442.0
23-02-05,443.0
24-02-05,455.5
25-02-05,452.0
28-02-05,460.5
01-03-05,453.5
02-03-05,464.75
03-03-05,478.5
04-03-05,461.25
07-03-05,459.75
08-03-05,478.0
09-03-05,487.0
10-03-05,472.25
11-03-05,476.0
14-03-05,471.0
15-03-05,482.25
16-03-05,493.5
17-03-05,497.75
18-03-05,492.25
21-03-05,494.75
22-03-05,496.75
23-03-05,483.25
24-03-05,486.25
29-03-05,483.25
30-03-05,485.0
31-03-05,514.5
01-04-05,516.5
04-04-05,527.75
05-04-05,522.5
06-04-05,516.0
07-04-05,505.75
08-04-05,481.75
11-04-05,475.75
12-04-05,479.0
13-04-05,468.5
14-04-05,475.5
15-04-05,469.25
18-04-05,462.5
19-04-05,474.75
20-04-05,481.75
21-04-05,484.0
22-04-05,493.75
25-04-05,492.0
26-04-05,476.5
27-04-05,474.5
28-04-05,466.75
29-04-05,468.5
03-05-05,464.0
04-05-05,468.0
05-05-05,458.0
06-05-05,461.0
09-05-05,451.5
10-05-05,465.5
11-05-05,453.0
12-05-05,437.75
13-05-05,430.5
16-05-05,425.25
17-05-05,430.25
18-05-05,431.5
19-05-05,438.5
20-05-05,441.25
23-05-05,439.25
24-05-05,439.5
25-05-05,452.75
26-05-05,458.5
27-05-05,456.75
31-05-05,454.5
01-06-05,478.75
02-06-05,492.25
03-06-05,494.75
06-06-05,510.0
07-06-05,508.75
08-06-05,505.0
09-06-05,511.0
10-06-05,514.5
13-06-05,519.5
14-06-05,529.25
15-06-05,525.0
16-06-05,513.75
17-06-05,524.25
20-06-05,526.5
21-06-05,524.0
22-06-05,514.25
23-06-05,526.0
24-06-05,524.0
27-06-05,533.75
28-06-05,529.75
29-06-05,513.0
30-06-05,525.25
01-07-05,545.0
04-07-05,548.5
05-07-05,558.25
06-07-05,565.75
07-07-05,551.25
08-07-05,555.0
11-07-05,529.0
12-07-05,557.25
13-07-05,541.25
14-07-05,522.25
15-07-05,529.75
18-07-05,519.25
19-07-05,519.5
20-07-05,517.0
21-07-05,506.5
22-07-05,514.5
25-07-05,514.25
26-07-05,527.5
27-07-05,520.5
28-07-05,516.0
29-07-05,525.0
01-08-05,547.5
02-08-05,542.5
03-08-05,538.0
