Date,USDMYR Curncy_PX_LAST
03-01-05,3.8
04-01-05,3.8
05-01-05,3.8
06-01-05,3.8
07-01-05,3.8
10-01-05,3.8
11-01-05,3.8
12-01-05,3.8
13-01-05,3.8
14-01-05,3.8
17-01-05,3.8
18-01-05,3.8
19-01-05,3.8
20-01-05,3.8
21-01-05,3.8
24-01-05,3.8
25-01-05,3.8
26-01-05,3.8
27-01-05,3.8
28-01-05,3.8
31-01-05,3.8
01-02-05,3.8
02-02-05,3.8
03-02-05,3.8
04-02-05,3.8
07-02-05,3.8
08-02-05,3.8
09-02-05,3.8
10-02-05,3.8
11-02-05,3.8
14-02-05,3.8
15-02-05,3.8
16-02-05,3.8
17-02-05,3.8
18-02-05,3.8
21-02-05,3.8
22-02-05,3.8
23-02-05,3.8
24-02-05,3.8
25-02-05,3.8
28-02-05,3.8
01-03-05,3.8
02-03-05,3.8
03-03-05,3.8
04-03-05,3.8
07-03-05,3.8
08-03-05,3.8
09-03-05,3.8
10-03-05,3.8
11-03-05,3.8
14-03-05,3.8
15-03-05,3.8
16-03-05,3.8
17-03-05,3.8
18-03-05,3.8
21-03-05,3.8
22-03-05,3.8
23-03-05,3.8
24-03-05,3.8
25-03-05,3.8
28-03-05,3.8
29-03-05,3.8
30-03-05,3.8
31-03-05,3.8
01-04-05,3.8
04-04-05,3.8
05-04-05,3.8
06-04-05,3.8
07-04-05,3.8
08-04-05,3.8
11-04-05,3.8
12-04-05,3.8
13-04-05,3.8
14-04-05,3.8
15-04-05,3.8
18-04-05,3.8
19-04-05,3.8
20-04-05,3.8
21-04-05,3.8
22-04-05,3.8
25-04-05,3.8
26-04-05,3.8
27-04-05,3.8
28-04-05,3.8
29-04-05,3.8
02-05-05,3.8
03-05-05,3.8
04-05-05,3.8
05-05-05,3.8
06-05-05,3.8
09-05-05,3.8
10-05-05,3.8
11-05-05,3.8
12-05-05,3.8
13-05-05,3.8
16-05-05,3.8
17-05-05,3.8
18-05-05,3.8
19-05-05,3.8
20-05-05,3.8
23-05-05,3.8
24-05-05,3.8
25-05-05,3.8
26-05-05,3.8
27-05-05,3.8
30-05-05,3.8
31-05-05,3.8
01-06-05,3.8
02-06-05,3.8
