Date,BO1 Comdty_(CBOT Soybean Oil Future),CO1 Comdty_(ICE Brent Crude Oil Future),QS1 Comdty_(ICE Gas Oil Future),PAL2MALY Index_(Crude Palm Oil fob Spot),USDMYR Curncy_(US DOLLAR/MALAYSIAN RINGGIT),NOAAONI Index_(NOAA Oceanic Nino Index ONI),PASTTOTL Index_(Total Palm Oil Inventory Data),DXY Curncy_(DOLLAR INDEX SPOT)
31-01-05,19.77,44.48,392.61,1332.95,3.8,0.6,1514.016,83.119
28-02-05,20.11,45.86,408.81,1316.34,3.8,0.6,1536.9070000000002,83.721
31-03-05,23.31,53.27,481.5,1428.14,3.8,0.4,1437.493,82.887
29-04-05,22.62,53.31,486.35,1433.85,3.8,0.4,1488.828,84.26700000000001
31-05-05,22.79,49.67,447.86,1413.84,3.8,0.3,1295.309,85.684
30-06-05,24.03,55.42,515.6,1406.02,3.8,0.1,1186.744,88.432
29-07-05,24.83,57.95,532.54,1402.9,3.7873,-0.1,1274.8339999999998,89.695
31-08-05,22.92,63.8,579.39,1356.73,3.7597,-0.1,1352.3310000000001,87.94200000000001
30-09-05,22.58,63.8,611.35,1397.95,3.7687,-0.1,1436.435,88.0
31-10-05,23.84,59.5,588.55,1452.83,3.7728,-0.3,1496.672,89.721
30-11-05,22.26,56.23,521.34,1423.67,3.7782,-0.6,1601.1789999999999,91.49
30-12-05,21.25,57.63,518.56,1392.88,3.7781,-0.8,1603.8010000000002,90.90899999999999
31-01-06,22.05,63.86,546.39,1411.86,3.7509,-0.8,1541.3129999999999,89.039
28-02-06,22.57,61.14,534.11,1444.62,3.7264,-0.7,1647.3529999999998,90.35799999999999
31-03-06,23.55,63.03,557.51,1424.73,3.7034,-0.5,1587.63,89.965
28-04-06,23.52,70.45,614.71,1415.63,3.6617,-0.3,1518.594,88.40700000000001
31-05-06,25.44,70.87,625.1,1418.5,3.6109,0.0,1573.4070000000002,84.84200000000001
30-06-06,24.95,69.78,626.56,1396.69,3.665,0.0,1645.865,85.76799999999999
31-07-06,26.66,74.26,639.77,1461.53,3.6685,0.1,1580.318,85.86
31-08-06,25.58,73.9,650.43,1596.23,3.6749,0.3,1684.046,85.06200000000001
29-09-06,24.31,63.64,568.85,1524.0,3.6709,0.5,1799.2,85.569
31-10-06,25.51,59.84,539.38,1523.35,3.6786,0.7,1593.435,86.35
30-11-06,28.29,59.86,534.89,1731.14,3.6428,0.9,1674.7320000000002,84.84
29-12-06,28.69,62.29,543.61,1881.45,3.5488,0.9,1506.586,83.365
31-01-07,28.97,54.62,488.61,1926.45,3.508,0.7,1474.475,84.78299999999999
28-02-07,30.16,58.8,521.11,1929.18,3.4957,0.3,1494.3,84.38
30-03-07,31.01,62.46,545.06,1976.41,3.4903,0.0,1337.1170000000002,83.484
30-04-07,32.39,67.6,587.86,2226.83,3.4377,-0.2,1190.983,82.19
31-05-07,34.48,67.86,592.26,2519.0,3.4022,-0.3,1117.2830000000001,82.12
29-06-07,35.51,70.54,618.19,2614.05,3.4467,-0.4,1199.646,82.46700000000001
31-07-07,37.24,75.82,648.23,2644.5,3.44,-0.5,1307.279,80.811
31-08-07,36.24,71.24,626.49,2546.23,3.4836,-0.8,1452.0970000000002,80.935
28-09-07,38.74,76.96,686.6,2602.45,3.4721,-1.1,1462.9389999999999,79.378
31-10-07,40.14,82.48,716.66,2780.52,3.3743,-1.4,1557.7820000000002,77.847
30-11-07,44.81,92.2,821.83,2962.93,3.3559,-1.5,1810.2720000000002,75.64
31-12-07,46.78,91.44,811.23,2957.03,3.3339999999999996,-1.6,1682.267,76.804
31-01-08,52.07,91.91,804.52,3229.84,3.2691,-1.6,1872.78,75.98
29-02-08,59.32,94.66,848.51,3574.58,3.2235,-1.4,1927.549,75.69800000000001
31-03-08,60.47,102.87,947.05,3674.47,3.1858,-1.2,1824.453,72.46600000000001
30-04-08,58.61,110.43,1023.78,3440.71,3.1618,-0.9,1789.799,72.104
30-05-08,60.6,124.68,1185.16,3537.53,3.2153,-0.8,1913.36,72.85300000000001
30-06-08,64.16,133.74,1230.44,3593.07,3.2575,-0.5,2033.914,73.18
31-07-08,62.32,134.56,1228.67,3363.76,3.2498,-0.4,1977.3970000000002,72.546
29-08-08,52.91,115.24,1037.82,2647.33,3.3294,-0.3,1848.7879999999998,76.061
30-09-08,47.36,100.78,942.66,2339.63,3.4414,-0.3,1951.399,78.235
31-10-08,36.86,73.68,724.3,1711.83,3.5207,-0.4,2091.407,83.11200000000001
28-11-08,33.05,54.75,580.66,1528.4,3.5877,-0.6,2266.156,86.389
31-12-08,31.0,43.05,451.84,1561.17,3.5476,-0.7,1994.71,83.10600000000001
30-01-09,34.34,45.71,455.24,1842.74,3.5681,-0.8,1832.9070000000002,84.149
27-02-09,31.92,43.87,402.3,1901.05,3.6342,-0.7,1565.592,86.557
31-03-09,31.56,47.42,409.86,2042.28,3.6758,-0.5,1365.615,86.45700000000001
30-04-09,35.71,51.39,439.23,2491.89,3.6091,-0.2,1292.202,85.251
29-05-09,38.49,58.59,477.49,2727.45,3.5246,0.1,1371.0379999999998,82.007
30-06-09,37.73,69.27,568.23,2425.86,3.5180000000000002,0.4,1410.2220000000002,80.093
31-07-09,34.1,65.75,533.6,2133.13,3.5468,0.5,1332.7420000000002,79.527
31-08-09,36.78,73.06,597.69,2421.82,3.5178,0.5,1416.4489999999998,78.44800000000001
30-09-09,34.07,68.15,559.08,2230.7,3.4929,0.7,1579.299,77.053
30-10-09,36.31,73.93,609.48,2157.86,3.4042,1.0,1974.526,76.01100000000001
30-11-09,38.75,77.58,624.93,2242.13,3.3895,1.3,1934.6129999999998,75.311
31-12-09,39.5,75.21,611.85,2475.88,3.4132,1.6,2239.257,76.786
29-01-10,38.23,77.01,628.5,2497.8,3.3777,1.5,2004.006,77.80199999999999
26-02-10,38.12,74.79,606.11,2572.06,3.4152,1.3,1790.2420000000002,80.16
31-03-10,39.59,79.93,661.57,2628.04,3.3238,0.9,1657.559,80.672
30-04-10,39.37,85.75,711.56,2548.07,3.2072,0.4,1622.6029999999998,81.23100000000001
31-05-10,37.92,77.0,653.57,2534.57,3.2537,-0.1,1563.7379999999998,85.419
30-06-10,37.24,75.66,653.92,2506.2,3.2658,-0.6,1454.517,86.575
30-07-10,38.01,75.36,639.82,2478.36,3.2051,-1.0,1409.2520000000002,83.14
31-08-10,40.7,77.11,654.38,2722.93,3.1532,-1.4,1709.735,82.149
30-09-10,42.22,78.42,669.58,2727.4,3.1056,-1.6,1713.9260000000002,81.082
29-10-10,47.13,83.54,713.5,2901.69,3.1003,-1.7,1796.036,77.46
30-11-10,50.95,86.16,728.52,3280.75,3.1166,-1.7,1637.164,78.437
31-12-10,54.98,92.25,769.01,3640.85,3.1253,-1.6,1616.237,80.068
31-01-11,57.27,96.91,805.19,3766.1,3.0610000000000004,-1.4,1418.4560000000001,79.155
